Name, Engine power (ch), Torque (Nm), weight (kg), Acceleration (secs), Price (euros), Pollution (CO2 in g/km), Design (1-5), Frame (1-5)
Name,Engine,Torque,Weight,Acceleration,Price,Pollution,Design,Frame
ALFA ROMEO Mito Veloce,170,250,1145,7.3,25890,124,4,3
AUDI S1 Quattro,231,370,1315,5.8,35590,166,5,5
ABARTH 595,145,206,1035,7.8,18600,139,4,5
FORD Fiesta 1.0 Ecoboost 140 ch Black/RedEdition,140,210,1128, 9,18800,104,3,4
FORD Fiesta ST,182,240,1163,6.9,24950,138,3,4
MINI Cooper S,192,280,1160,6.8,25600,133,4,4
MINI Cooper S JCW,231,320,1205,6.3,32550,155,5,5
OPEL Adam S,150,220,1103,8.5,19000,139,NA,NA
OPEL Corsa (E) OPC,207,280,1218,6.8,23900,174,3,5
PEUGEOT 208 GTI,208,300,1160,6.5,26000,125,4,3
RENAULT Clio 4 RS,200,240,1204,6.7,28100,133,3,4
SEAT Ibiza Cupra 192 ch,192,320,1269,6.7,22870,139,NA,NA
SUZUKI Swift Sport,136,160,1040,8.7,15680,147,3,5
VOLKSWAGEN Polo BlueGT,150,250,1212,7.9,23620,110,4,3
VOLKSWAGEN Polo GTI,192,320,1269,6.7,26900,139,4,3
ALFA ROMEO GiuliettaVeloce,240,340,1320, 6,35600,162,4,3
AUDI S3,310,380,1425,5.2,50000,162,5,4
AUDI RS3,367,465,1425,4.3,57900,189,5,4
BMW M140i,340,500,1450,4.8,45600,179,5,4
FORD Focus ST,250,360,1362,6.5,29200,159,3,4
FORD Focus RS 350,350,440,1524,4.7,39600,175,4,5
KIA Pro Cee GT,204,265,1359,7.7,29290,170,3,2
MERCEDES A45 AMG,381,475,1480,4.2,55530,162,5,5
MINI Clubman Cooper S F54),192,280,1360, 72,29800,147,4,4
PEUGEOT 308 GT 205,205,285,1200,7.5,31350,130,4,4
PEUGEOT 308 GTI270,270,330,1205, 6,37700,139,4,5
RENAULT Megane 4 GT,205,280,1392,7.1,32200,134,4,4
SEAT Leon FR,184,380,1295,7.5,29720,113,NA,NA
SEAT Leon Cupra,300,380,1375,5.7,35000,149,4,4
WOLKSWAGEN Gold GTD,184,380,1475,7.9,36570,115,NA,NA
WOLKSWAGEN Golf GTE,204,350,1524,7.6,38990,25,4,3
VOLKSWAGEN Golf GTI,230,380,1307,6.4,34530,147,5,4
VOLKSWAGEN Golf R,310,380,1401,5.1,43980,180 ,5,4
Aston Martin Rapide,470,600,1990,5.3,181000,300,5,4
AUDIS4,333,440,1780, 5,62740,190,2,4
BMW M5 (F10),560,680,1875,4.3,117100,232,4,NA
Cadillac CTS-V,564,747,1742,4.1,68127,365,4,4
Mercedes C63 AMG,457,600,1730,4.4,89300,280,4,4
Mitsubishi LANCER Evo X,295,366,1600,6.6,52850,250,3,4
Opel InsigniaOPC,325,435,1750, 6,45350,249,3,4
Porsche Panamera GTS,430,520,1920,4.5,119575,256,2,NA
Subaru WRX STI,300,407,1507,5.2,44950,242,4,4
